"","x"
"1",84.7942125183753
"2",81.7471889990572
"3",78.2807529350919
"4",78.9853390505108
"5",79.6991016145932
"6",76.0778558452392
"7",81.3584888496796
"8",79.2546036822734
"9",78.0594653177741
"10",80.2462951936387
"11",80.4212496764379
"12",78.435446351403
"13",84.0842125183753
"14",83.3871889990572
"15",81.8207529350919
"16",87.6553390505108
"17",83.5191016145932
"18",81.7778558452391
"19",85.2284888496796
"20",86.6446036822734
"21",83.7394653177741
"22",86.5662951936387
"23",87.2512496764379
"24",81.605446351403
"25",87.3142125183753
"26",91.3271889990572
"27",84.9407529350919
"28",87.4753390505108
"29",90.4791016145932
"30",83.4078558452391
"31",85.0184888496796
"32",83.2146036822734
"33",85.9894653177741
"34",83.0662951936387
"35",83.0212496764379
"36",82.035446351403
"37",87.0342125183753
"38",87.7371889990572
"39",83.2007529350919
"40",85.8353390505108
"41",91.8291016145932
"42",88.8678558452391
"43",99.5484888496796
"44",95.9746036822734
"45",96.2094653177741
"46",98.0262951936387
"47",95.6112496764379
"48",100.535446351403
"49",100.744212518375
"50",103.737188999057
"51",108.190752935092
"52",107.365339050511
"53",108.909101614593
"54",106.907855845239
"55",109.17848884968
"56",112.964603682273
"57",116.149465317774
"58",113.256295193639
"59",113.071249676438
"60",117.345446351403
"61",106.004212518375
"62",109.017188999057
"63",111.020752935092
"64",98.8453390505108
"65",103.589101614593
"66",103.407855845239
"67",97.6884888496796
"68",96.5646036822734
"69",94.7194653177741
"70",93.3162951936387
"71",97.4712496764379
"72",98.585446351403
"73",94.9642125183753
"74",95.2371889990572
"75",96.3107529350919
"76",93.4353390505108
"77",94.1691016145932
"78",94.4678558452391
"79",89.6884888496796
"80",92.5246036822734
"81",92.1294653177741
"82",93.5362951936387
"83",92.3712496764379
"84",89.735446351403
"85",94.7842125183753
"86",92.8771889990572
"87",90.8607529350919
"88",91.9253390505108
"89",90.0891016145932
"90",93.4078558452391
"91",93.3584888496796
"92",93.8246036822734
"93",96.9794653177741
"94",96.8562951936387
"95",97.2712496764379
"96",97.735446351403
"97",95.3242125183753
"98",98.2371889990572
"99",97.0707529350919
"100",97.8853390505108
"101",97.3991016145932
"102",96.6178558452391
"103",97.7684888496796
"104",96.4246036822734
"105",98.0794653177741
"106",96.3162951936387
"107",95.9812496764379
"108",102.285446351403
"109",97.0942125183753
"110",96.5271889990572
"111",97.4807529350919
"112",98.5653390505108
"113",96.0591016145932
"114",101.307855845239
"115",100.81848884968
"116",100.204603682273
"117",103.449465317774
"118",102.086295193639
"119",103.281249676438
"120",103.135446351403
"121",104.604212518375
"122",105.827188999057
"123",108.100752935092
"124",109.865339050511
"125",107.909101614593
"126",111.587855845239
"127",109.49848884968
"128",107.434603682273
"129",114.449465317774
"130",114.246295193639
"131",109.921249676438
"132",109.105446351403
"133",109.374212518375
"134",110.067188999057
"135",117.680752935092
"136",111.085339050511
"137",113.289101614593
"138",115.377855845239
"139",110.44848884968
"140",110.914603682273
"141",114.529465317774
"142",113.946295193639
"143",112.081249676438
"144",115.875446351403
"145",114.894212518375
"146",111.197188999057
"147",113.280752935092
"148",115.165339050511
"149",108.039101614593
"150",110.197855845239
"151",105.31848884968
"152",106.114603682273
"153",102.149465317774
"154",101.156295193639
"155",96.3312496764379
"156",89.915446351403
"157",82.8242125183753
"158",81.1571889990572
"159",78.3607529350919
"160",80.5153390505108
"161",78.9391016145932
"162",77.8778558452391
"163",81.4584888496796
"164",82.2046036822734
"165",80.7394653177741
"166",81.7362951936387
"167",84.3012496764379
"168",91.255446351403
"169",84.7242125183753
"170",84.7071889990572
"171",86.5807529350919
"172",91.0453390505108
"173",90.0391016145932
"174",96.2078558452392
"175",91.4284888496796
"176",94.9846036822734
"177",89.1494653177741
"178",91.8162951936387
"179",97.9812496764379
"180",92.215446351403
"181",98.0142125183753
"182",95.1271889990572
"183",96.4407529350919
"184",95.8353390505108
"185",98.2391016145932
"186",95.1678558452392
"187",95.3284888496796
"188",94.4246036822734
"189",87.6894653177741
"190",88.9062951936387
"191",89.5812496764379
"192",87.075446351403
"193",91.8842125183753
"194",91.0071889990572
"195",89.7607529350919
