Date,Close
1/2/2019,10.65
1/3/2019,10.69
1/4/2019,11.23
1/7/2019,11.31
1/8/2019,11.42
1/9/2019,11.33
1/10/2019,11.32
1/11/2019,11.31
1/14/2019,11.4
1/15/2019,11.41
1/16/2019,11.74
1/17/2019,11.6
1/18/2019,11.94
1/22/2019,11.77
1/23/2019,11.91
1/24/2019,11.78
1/25/2019,12.14
1/28/2019,12.13
1/29/2019,12.03
1/30/2019,12.13
1/31/2019,11.87
2/1/2019,11.83
2/4/2019,11.75
2/5/2019,11.94
2/6/2019,12.56
2/7/2019,12.36
2/8/2019,12.2
2/11/2019,12.26
2/12/2019,12.36
2/13/2019,12.32
2/14/2019,12.19
2/15/2019,12.5
2/19/2019,12.58
2/20/2019,12.66
2/21/2019,12.41
2/22/2019,12.58
2/25/2019,12.72
2/26/2019,12.9
2/27/2019,13.11
2/28/2019,13.22
3/1/2019,13.25
3/4/2019,13.15
3/5/2019,12.75
3/6/2019,12.32
3/7/2019,11.97
3/8/2019,11.76
3/11/2019,12.11
3/12/2019,12.08
3/13/2019,12.31
3/14/2019,12.36
3/15/2019,12.59
3/18/2019,12.46
3/19/2019,12.42
3/20/2019,12.23
3/21/2019,12.23
3/22/2019,11.82
3/25/2019,11.85
3/26/2019,11.89
3/27/2019,12.15
3/28/2019,12.04
3/29/2019,12.14
4/1/2019,12.5
4/2/2019,12.55
4/3/2019,12.73
4/4/2019,12.8
4/5/2019,12.7
4/8/2019,12.81
4/9/2019,12.73
4/10/2019,12.71
4/11/2019,12.92
4/12/2019,13.45
4/15/2019,13.5
4/16/2019,13.66
4/17/2019,13.64
4/18/2019,13.54
4/22/2019,13.45
4/23/2019,13.39
4/24/2019,13.16
4/25/2019,12.59
4/26/2019,12.66
4/29/2019,12.75
4/30/2019,12.76
5/1/2019,12.61
5/2/2019,12.6
5/3/2019,12.6
5/6/2019,12.42
5/7/2019,12.04
5/8/2019,12.04
5/9/2019,11.83
5/10/2019,11.88
5/13/2019,11.47
5/14/2019,11.54
5/15/2019,11.31
5/16/2019,11.41
5/17/2019,11.23
5/20/2019,11.15
5/21/2019,11.3
5/22/2019,11.03
5/23/2019,10.86
5/24/2019,11
5/28/2019,10.91
5/29/2019,10.9
5/30/2019,10.85
5/31/2019,10.76
6/3/2019,10.8
6/4/2019,11.23
6/5/2019,11.11
6/6/2019,11.08
6/7/2019,11.16
6/10/2019,11.37
6/11/2019,11.46
6/12/2019,11.25
6/13/2019,11.15
6/14/2019,11.02
6/17/2019,11.03
6/18/2019,11.28
6/19/2019,11.38
6/20/2019,11.29
6/21/2019,11.12
6/24/2019,11.08
6/25/2019,11.08
6/26/2019,11.35
6/27/2019,11.61
6/28/2019,11.57
7/1/2019,11.58
7/2/2019,11.5
7/3/2019,11.63
7/5/2019,11.78
7/8/2019,11.54
7/9/2019,11.46
7/10/2019,11.54
7/11/2019,11.72
7/12/2019,11.66
7/15/2019,11.65
7/16/2019,11.69
7/17/2019,11.5
7/18/2019,11.54
7/19/2019,11.29
7/22/2019,11.32
7/23/2019,11.48
7/24/2019,11.52
7/25/2019,11.59
7/26/2019,11.56
7/29/2019,11.45
7/30/2019,11.19
7/31/2019,11.1
8/1/2019,10.55
8/2/2019,10.3
8/5/2019,10.05
8/6/2019,10.11
8/7/2019,10.1
8/8/2019,10.14
8/9/2019,9.73
8/12/2019,9.48
8/13/2019,9.7
8/14/2019,9.3
8/15/2019,9.24
8/16/2019,9.51
8/19/2019,9.42
8/20/2019,9.36
8/21/2019,9.33
8/22/2019,9.5
8/23/2019,9.28
8/26/2019,9.42
8/27/2019,9.39
8/28/2019,9.35
8/29/2019,9.48
8/30/2019,9.55
9/3/2019,9.5
9/4/2019,9.63
9/5/2019,9.93
9/6/2019,10
9/9/2019,10.31
9/10/2019,10.6
9/11/2019,10.62
9/12/2019,10.64
9/13/2019,10.85
9/16/2019,10.67
9/17/2019,10.58
9/18/2019,10.48
9/19/2019,10.58
9/20/2019,10.69
9/23/2019,10.54
9/24/2019,10.33
9/25/2019,10.36
9/26/2019,10.36
9/27/2019,10.43
9/30/2019,10.45
10/1/2019,10.3
10/2/2019,9.99
10/3/2019,10.02
10/4/2019,10.12
10/7/2019,10.1
10/8/2019,9.94
10/9/2019,10.01
10/10/2019,10.44
10/11/2019,10.8
10/14/2019,10.89
10/15/2019,11.08
10/16/2019,11.32
10/17/2019,11.3
10/18/2019,11.39
10/21/2019,11.55
10/22/2019,11.52
10/23/2019,11.56
10/24/2019,11.49
10/25/2019,11.52
10/28/2019,11.55
10/29/2019,11.53
10/30/2019,11.33
10/31/2019,11.33
11/1/2019,11.43
11/4/2019,11.6
11/5/2019,11.77
11/6/2019,11.77
11/7/2019,12.08
11/8/2019,11.92
11/11/2019,11.91
11/12/2019,11.89
11/13/2019,11.66
11/14/2019,11.6
11/15/2019,11.69
11/18/2019,11.66
11/19/2019,11.72
11/20/2019,11.51
11/21/2019,11.56
11/22/2019,11.63
11/25/2019,11.64
11/26/2019,11.54
11/27/2019,11.6
11/29/2019,11.52
12/2/2019,11.45
12/3/2019,11.27
12/4/2019,11.47
12/5/2019,11.49
12/6/2019,11.57
